title,category,volatility,minBet,lookFor,stopPlaying,playWhen,stopWhen
"RICH LITTLE PIGGIES","must-hit-by","low","$0.88","Blue pig 24+ free games | 22+ if yellow pig is fat | 20+ if all 3 pigs are fat (3 chins = max/fat pig)","After triggering any pig feature","**Option A — Blue Pig Only:** - Blue pig ≥ <strong>24</strong> free games - Other pigs: Does not matter  **Option B — Blue + Yellow:** - Blue pig ≥ <strong>22</strong> free games - Yellow pig: Fat (3 chins)  **Option C — All Pigs Fat:** - Blue pig ≥ <strong>20</strong> free games - Yellow pig: Fat (3 chins) - Red pig: Fat (3 chins) - Visual: All 3 pigs squished together  ⚠️ **IMPORTANT:** These are uncapped progressives. If the setup doesn't clearly match, **do not play**.  ---","- Any pig feature triggers - Bankroll loss exceeds predetermined limit - Blue pig reaches 50+ without triggering (cut losses)  ---"
"RISING DIAMOND","counter-meter","high","$0.88","16807 ways (always play) | 7776 ways with 1+ spins remaining | Lower ways with diamonds (expand NEXT spin) | 7776 at 0 spins with 1 diamond | 3125 with 1 diamond | 1024 with 2 diamonds | 243 with 3 diamonds","After bonus feature triggers at max height (16807 ways)","**Always Play:** - <strong>16,807</strong> ways (always play)  **With Spins Remaining:** - <strong>7,776</strong> ways with <strong>1+</strong> spins remaining  **With Diamonds Visible (even at 0 spins):**  | Current Ways | Diamonds on Reels | Action | |--------------|-------------------|--------| | 7,776 | <strong>1+</strong> | ✅ **Play** | | 3,125 | <strong>1+</strong> | ✅ **Play** | | 1,024 | <strong>2+</strong> | ✅ **Play** | | 243 | <strong>3</strong> | ✅ **Play** (rare) |  ---","- Bonus feature triggers at max height (16,807 ways)  ---"
"Rising Phoenix","counter-meter","high","$0.88","3 flames + 24x total multipliers | 2 flames + 36x | 1 flame + 48x | 0 flames + 60x | Check bet pad for flame count and add all wedge multipliers (yellow wedges = 5x or higher)","After flame meter fills and wheel spins (triggered wedge resets to 2x)","**Check bet pad for flame count, then add all wedge multipliers:**  | Flames | Required Total Multipliers | |--------|---------------------------| | 3 | ≥ <strong>24x</strong> (or 2+ wedges on fire) | | 2 | ≥ <strong>36x</strong> | | 1 | ≥ <strong>48x</strong> | | 0 | ≥ <strong>60x</strong> |  **Wedge on Fire = 5x or higher (yellow flames visible)**  ---","- Flame meter fills and wheel spins - Triggered wedge resets to <strong>2x</strong> - Remaining multipliers fall below threshold  ---"
"River Dragons & Fire Wolf 2 Series (Forest/Winter Dragons, Wolf Queen)","must-hit-by","low","$30","$500 MHB at $486+ or $5,000 MHB at $4,920+ | Also applies to Fire Wolf 2, Forest Dragons, Winter Dragons, Wolf Queen","After MHB jackpot hits and resets","| Progressive | Play At | Notes | |-------------|---------|-------| | $500 MHB | <strong>$486+</strong> | Conservative threshold | | $5,000 MHB | <strong>$4,920+</strong> | Conservative threshold |  **Note:** These thresholds account for lower RTP settings. Wait higher for more profit.  ---","- MHB jackpot hits and resets  ---"
"Samurai Dynasty","counter-meter","high","$0.88","1 bonus symbol in top row | 2 bonus symbols in middle row | Avoid if 3 bonus symbols visible (bonus just triggered, symbols disappear next spin)","After free games bonus triggers","| Setup | Action | |-------|--------| | <strong>1</strong> bonus symbol in TOP row | ✅ **Play** | | <strong>2</strong> bonus symbols in MIDDLE row | ✅ **Play** | | <strong>3</strong> bonus symbols visible | ❌ **NEVER** (trap) |  ---","- Free games bonus triggers  ---"
"SCARAB / DIAMOND MANIA","accumulation","medium","$0.88","Game 9: 1+ frames in first 3 reels | Game 7-8: 2+ frames same row in first 3 reels | Game 5-6: 3+ frames same row in first 4 reels | Game 3-4: 4+ frames in first 3 reels | 3+ same row in first 4 | Game 1-2: 5+ frames in first 3 reels | 3+ same row in first 4 | Never play game 10 (wilds activate this spin)","After spin 10 completes (frames turn wild and board resets)","**Simplified Rule:** - Lots of frames on the LEFT (reels 1-3) - Preferably connected HORIZONTALLY (for 4-of-a-kind or 5-of-a-kind) - Further in cycle = Better  **Detailed Thresholds:**  | Spin | Frames Needed | Location | |------|---------------|----------| | 10 of 10 | ❌ **NEVER** | N/A | | 9 of 10 | <strong>1+</strong> | First 3 reels | | 8-7 of 10 | <strong>2+</strong> same row | First 3 reels | | 6-5 of 10 | <strong>3+</strong> same row | First 4 reels | | 4-3 of 10 | <strong>4+</strong> OR <strong>3+</strong> same row | First 3 reels OR first 4 (same row) | | 2-1 of 10 | <strong>5+</strong> OR <strong>3+</strong> same row | First 3 reels OR first 4 (same row) |  ---","- Spin 10 completes (frames turn wild, board resets)  ---"
"SCARAB GRAND","accumulation","medium","$0.88","Locked frames concentrated in first 3 reels, preferably aligned horizontally | Game 9: 2+ frames | Games 7-8: 3+ frames same row | Games 5-6: 5+ frames (or 3+ same row in first 4 reels) | Games 1-4: 6-7+ frames (or 4+ same row)","After spin 10 completes (all frames turn wild, then board resets)","","- Spin 10 completes - All frames turn wild - Board resets  ---"
"Sphinx 4D","counter-meter","high","$0.88","Wild spheres in reels 2-3 not on bottom row (most valuable) | Wild spheres in reels 1 or 4 in top 2 rows only","After wild sphere moves off bottom row or triggers expansion on lion/lioness symbol","**Reels 2-3 (Most Valuable):** - Wild sphere NOT on bottom row  **Reels 1 and 4:** - Wild sphere in **top two rows only**  | Reel | Position | Action | |------|----------|--------| | 2-3 | Top row | ✅ **Play** | | 2-3 | Middle row | ✅ **Play** | | 2-3 | Bottom row | ❌ Skip | | 1 or 4 | Top row | ✅ **Play** | | 1 or 4 | 2nd from top | ✅ **Play** | | 1 or 4 | Lower rows | ❌ Skip |  ---","- Wild sphere moves off bottom row - Sphere triggers expansion on lion/lioness - No spheres remain in playable positions  ---"
"SUMO KITTY / LUCHA KITTY","accumulation","medium","$0.88","6+ connected gold frames without credit values inside (empty frames only)","After coin lands in connected frames and credit value is awarded (frames disappear next spin)","| Setup | Action | |-------|--------| | <strong>6+</strong> connected gold frames (empty) | ✅ **Play** | | Frames already contain credit values | ❌ Skip (already triggered) |  **Note:** Location doesn't matter - frames can be anywhere as long as connected.  ---","- Coin lands in connected frames and credit value is awarded - Frames disappear next spin  ---"
"Super Bowl Jackpots","cycle-based","medium","$26","2-Minute Drill active (red timer) + 1+ prizes in any of the 4 spots above reels | Check all bet levels (prizes stored separately)","After filling all 4 spots (prizes awarded) | After any spin lands with no prize (board clears)","**Simple Rule:** - 2-Minute Drill active (red timer) AND - <strong>1+</strong> prizes collected in any of the 4 spots  | Spots Filled | Action | |--------------|--------| | 1+ prizes | ✅ **Play** | | 0 prizes | ❌ Skip |  **Variance Reduction:** - Avoid plays where total collected < bet size  ---","- All 4 spots filled (prizes awarded) - Any spin lands with no prize (board clears)  ---"
"Thor’s Thunder","counter-meter","high","$0.88","Storm Mode active (red text on bet pad for that bet level +","After Storm Mode ends (lasts up to 10 spins, ends randomly)","**Simple Check:** - Storm Mode active - Look for: ""Storm Mode"" displayed above reels - Look for: Red highlighted text on bet pad for that bet level  | Indicator | Action | |-----------|--------| | Red text on bet pad + ""Storm Mode"" above reels | ✅ **Play** | | Normal text on bet pad | ❌ Skip |  ---","- Storm Mode ends (happens randomly, no way to predict)  ---"
"TIAN CI JIN LU","must-hit-by","low","$0.88","Middle progressive at $292+ out of $300 (meter above large coin at top) | Only this meter is MHB - ignore grand/major/minor/mini","After MHB jackpot hits","| Progressive | Play At | |-------------|---------| | Middle meter (above large coin) | <strong>$292+</strong> |  **Location:** Look at the progressive in the MIDDLE of the screen (above the large coin at top)  ---","- MHB jackpot hits  ---"
"Tic Tac Go","must-hit-by","low","$0.88","Total X+O values 27x+ bet (add ALL prizes on board) | Avoid full boards or 3-in-a-row (resets next spin) | Consider blocked colors when evaluating prize distribution | Rocket Rollup version: use bet pad amount, not main screen","After tic-tac-toe game won (3 in a row or draw) and board resets","**Primary Requirement:** - Total X + O values ≥ <strong>27x</strong> bet size - Add ALL prizes on the board  **Rocket Rollup Version:** - Use bet pad amount (NOT main screen) - Main screen includes progressive contribution - Example: $0.75 bet pad → Entry point = $20.25 (27x)  | Setup | Action | |-------|--------| | Total board value ≥ 27x bet | ✅ **Play** | | Full board (9 filled) | ❌ Skip (resets next spin) | | 3 in a row showing | ❌ Skip (resets next spin) |  ---","- Tic-tac-toe game won (3 in a row or draw) - Board resets next spin  ---"
"Top Up Fortunes: Flame / Ocean","counter-meter","high","$0.88","8+ yellow squares total (tap Paytable on bet pad if not showing) | 6+ yellow squares in first 3 reels | 3 vertical squares above any reel (Add Wild opportunity) | Only count squares with spins remaining (green counter) | 3 vertical at 0 spins counts as 2","After free games or hold & spin bonus triggers","**Reading Yellow Squares:** - Bet pad shows yellow squares = expanded positions - 3 vertical squares = 6-symbol tall reel (max) - Tap ""Paytable"" on bet pad if not showing - **CRITICAL:** Only count squares with spins remaining - 3 vertical at 0 spins = counts as 2  **Entry Points:**  | Setup | Action | |-------|--------| | <strong>8+</strong> yellow squares total | ✅ **Play** | | <strong>6+</strong> yellow squares in first 3 reels | ✅ **Play** | | <strong>3</strong> vertical squares above any reel | ✅ **Play** (Add Wild opportunity) |  ---","- Free games bonus triggers - Hold & spin feature triggers  ---"
"TREASURE","counter-meter","high","$0.88","BLACK background (not green/blue) with any of: 1+ wild/panda/pirate symbol in reels 1-3 | Wild symbol in BOTH reels 4 and 5 | 400+ ways displayed | Treasure chest 1 space from key","When background turns green (Panda","**REQUIRED:** Background must be BLACK  **Plus ANY of the following:**  | Setup | Action | |-------|--------| | 1+ wild/panda/pirate in reels 1-3 | ✅ **Play** | | Wild in BOTH reels 4 AND 5 | ✅ **Play** | | 400+ ways displayed | ✅ **Play** | | Treasure chest 1 space from key | ✅ **Play** |  ---","- Background turns green (Panda's) or blue (Pirate's) - State resets next spin  ---"
"Ultra Rush Gold X: Bingwen / Wei Yi","accumulation","medium","$0.88","1 or more gold scatter symbols locked (check bet pad for all denominations)","After 5 scatter symbols trigger the bonus feature","| Setup | Action | |-------|--------| | <strong>1+</strong> gold scatter symbols collected | ✅ **Play** |  **Check:** Look directly on bet pad for collected scatters  ---","- 5 scatter symbols trigger the bonus feature  ---"
"ULTRA RUSH GOLD","accumulation","medium","$0.88","2 or more gold scatters locked (check bet pad) | 1 gold scatter if wheel symbol or 20x+ credit value | Blue bubbles also count toward the 6 scatters needed","After hold & spin bonus triggers (6 total scatters collected)","**Option A — Two Gold Scatters:** - <strong>2+</strong> gold scatters locked - Check bet pad  **Option B — Single Valuable Gold:** - <strong>1</strong> gold scatter if:   - Wheel symbol type, OR   - Credit value ≥ <strong>20x</strong> bet  **How to Check:** - Glance at bet pad for gold scatter count - Tap bet pad buttons to check other denominations  ---","- Hold & Spin bonus triggers (<strong>6</strong> total scatters) - All gold scatters expire  ---"
"UP SHOT","counter-meter","high","$0.88","Locked spins remaining above reel 2 or 4 showing","After bonus triggers (free spins or Upshot pinball feature) | Locked symbol disappears after 3rd spin","| Setup | Action | |-------|--------| | ""Spin 1 of 3"" showing above reel 2 or 4 | ✅ **Play** | | ""Spin 2 of 3"" showing above reel 2 or 4 | ✅ **Play** | | Icon visible on bet pad for any bet level | ✅ **Play** |  **Note:** Message disappears after spin 3 - no more locked spins.  ---","- Bonus triggers (free spins or Upshot pinball feature) - Locked symbol disappears after 3rd spin  ---"
"Wheel of Fortune 4D Collector’s Edition","accumulation","medium","$0.88","Total prizes above all 5 reels = 70x+ bet (prefer values spread across reels 2 and 4) | Advanced: Weighted total = 45x+ bet (R1×0.7, R2×0.9, R3×0.5, R4×1.0, R5×0.33)","After Collect symbol triggers and prizes are awarded","**Simple Method:** - Total prizes above all 5 reels ≥ <strong>70x</strong> bet - Prefer values spread across reels (not concentrated) - Best: Values in reels 2 and 4 (easiest to trigger) - Worst: Values mostly in reel 5 (avoid)  **Advanced Method (More Accurate):** - Multiply each reel's value by its weight:   - Reel 1 × 0.7   - Reel 2 × 0.9   - Reel 3 × 0.5   - Reel 4 × 1.0   - Reel 5 × 0.33 - Weighted total ≥ <strong>45x</strong> bet  | Method | Threshold | |--------|-----------| | Simple (total prizes) | <strong>70x</strong> bet | | Advanced (weighted) | <strong>45x</strong> bet |  ---","- Collect symbol triggers and prizes are awarded  ---"
"WHEEL OF FORTUNE 4D","cycle-based","medium","$0.88","3+ yellow multipliers (6x or higher) totaling 24x+ | Any yellow multiplier up next (border directly to the left)","After triggering one yellow multiplier","**Option A — Multiple Yellow Multipliers:** - <strong>3+</strong> yellow multipliers (6x or higher) - Total adds up to <strong>24x+</strong> - Examples: 8x+8x+8x=24x ✅, 6x+6x+12x=24x ✅  **Option B — Yellow Up Next:** - Any yellow multiplier has border directly to the left - Play <strong>1</strong> spin only  | Setup | Action | |-------|--------| | 3+ yellow totaling 24x+ | ✅ **Play** | | Yellow up next (border to left) | ✅ **1 spin** | | Single yellow, not up next | ❌ Skip |  ---","- After triggering one yellow multiplier  ---"
"Wheel of Fortune Wild Spin","accumulation","medium","$0.88","Game 9: 1+ frame in first 3 reels | Game 8-7: 2+ frames in same row (first 3 reels) | Game 6-5: 3+ frames in same row (first 4 reels) | Game 4-3: 5+ frames in first 3 reels | 4 frames in same row | Game 2-1: 6+ frames in first 3 reels | 4 frames in same row | Never play Game 10","After spin 10 completes (all frames turn wild, board resets)","**Simplified Rule:** - Lots of frames on the LEFT (reels 1-3) - Preferably connected HORIZONTALLY - Further in cycle = Better  **Detailed Thresholds:**  | Spin | Frames Needed | Location | |------|---------------|----------| | 10 of 10 | ❌ **NEVER** | N/A | | 9 of 10 | <strong>1+</strong> | First 3 reels | | 8-7 of 10 | <strong>2+</strong> same row | First 3 reels | | 6-5 of 10 | <strong>3+</strong> same row | First 4 reels | | 4-3 of 10 | <strong>5+</strong> OR <strong>4</strong> same row | First 3 reels | | 2-1 of 10 | <strong>6+</strong> OR <strong>4</strong> same row | First 3 reels |  ---","- Spin 10 completes (frames turn wild, board resets)  ---"
"Wild Explosion: Get‘Cha Gold / Get‘Cha Money / Get‘Cha Reward / Get‘Cha Treasure","counter-meter","high","$0.88","Red wilds with countdown timer in reels 2 or 3 (any countdown value) | Red wilds in reel 4 with countdown of 2 or 3 (play for chance to land reel 2-3 wild) | Listen for ticking sound indicating active timers","After all red wild countdowns reach 0 and explode or fizzle (no red wilds remaining)","**Red wilds only under ""Wild Explosion"" bet levels on bet pad.**  | Red Wild Location | Countdown | Action | |-------------------|-----------|--------| | Reels 2 or 3 | Any (1, 2, or 3) | ✅ **Play** | | Reel 4 | 2 or 3 | ✅ **Play** (chance to land reel 2-3 wild) | | Reel 4 | 1 | ❌ Skip (not enough spins) |  ---","- All red wild countdowns reach 0 and explode or fizzle - No red wilds remaining  ---"
"Wild Force: Bison Sunrise / Midnight Wolf","counter-meter","high","$0.88","5+ frames connected horizontally starting from reel 1 (ignore frames showing","After Wild Spark triggers and connected frames turn wild","| Setup | Action | |-------|--------| | <strong>5+</strong> frames connected horizontally starting from reel 1 | ✅ **Play** | | <strong>13+</strong> frames anywhere (regardless of connections) | ✅ **Play** |  **General Guidelines (5-13 frames):** - Look for connected frames starting in reel 1 - Avoid frames concentrated on right side - Need 5 wilds in a payline for good payout - Paylines can be shaped, not just straight  ---","- Wild Spark triggers and connected frames turn wild  ---"
"Wish Mistress","accumulation","medium","$0.88","2 meters at 3 gems each (one spin away from double trigger) | 5+ combined blue and yellow gems (prioritize blue over yellow, avoid red-heavy setups)","After wild feature triggers and gem meter(s) reset to zero","**Option A — Double Trigger Setup:** - <strong>2</strong> meters at <strong>3</strong> gems each - (One gem away from double trigger)  **Option B — Blue + Yellow Focus:** - <strong>5+</strong> combined blue and yellow gems - (Prioritize blue over yellow, avoid red-heavy)  | Gems | Blue+Yellow | Action | |------|-------------|--------| | 3+3 (two meters) | Any | ✅ **Play** | | Any | 5+ | ✅ **Play** | | Single meter at 3 | Below 5 | ❌ Skip |  ---","- Wild feature triggers - Gem meter(s) reset to zero  ---"
"WIZARD RICHES","counter-meter","high","$0.88","DELAYED WILDS: 2+ connected purple-border symbols in first 4 reels, or 3 in first 3, or 4 in first 4 | COUNTDOWN JACKPOTS: 2 adjacent jackpot icons with yellow indicators remaining | LEFT BOOKCASE: 6x+ bet win in last 5 wins (top shelf = better odds, 4x+ acceptable) | RIGHT BOOKCASE: 4x+ multiplier with empty shelf inside purple border (not if Next Win already highlighted)","After delayed wilds trigger (1 spin only) | After multiplier applies to a win | After jackpot won","","- Delayed wilds trigger (1 spin only) - Multiplier applies to a win - Jackpot won  ---"
"WOLF PEAK / CAT PEAK / FU REN","counter-meter","high","$0.88","Yellow wilds with chevron arrows in reels 1-3 (any size) | Reel 4 yellow wilds only if they have 2x/3x multipliers | Check full wild rows for hidden arrow inside | Must insert money to check","After all yellow wilds fully expand and disappear","| Setup | Action | |-------|--------| | Yellow wilds in reels 1-3 (any size) | ✅ **Play** | | Reel 4 yellow wilds with 2x/3x multiplier | ✅ **Play** | | Reel 4 yellow wilds without multiplier | ❌ Skip | | Reel 5 wilds only | ❌ Skip | | Purple wilds only | ❌ Skip |  **CRITICAL:** Check full wild rows for hidden arrow inside - new wild can land on existing full row.  ---","- All yellow wilds fully expand and disappear  ---"
"WOLF RIDGE","counter-meter","high","$0.88","Free games, blue prizes, or 50x+ green prizes in reel 2 or 4 (1 spin to win) | Same valuable prizes in reels 3 AND 5 together (2 spins, 2 chances) | Blue prize in reel 5 (2 spins to reach Alpha reel for 3x multiplier)","After wolf symbol lands and prize collected | Target prize shifts off left side of screen","**Option A — Reel 2 or 4 (1 Spin):** - Free games, blue prize, or green <strong>50x+</strong> in reel 2 or 4 - Play <strong>1</strong> spin  **Option B — Reels 3 AND 5 (2 Spins):** - Valuable prizes in **both** reels 3 and 5 - Play <strong>2</strong> spins (2 chances to win on second spin)  **Option C — Alpha Reel Setup:** - Any green prize in reel 4 → Play <strong>1</strong> spin - Any blue prize in reel 5 → Play <strong>2</strong> spins (reaches Alpha for 3x)  ---","- Wolf symbol lands and prize collected - Target prize shifts off left side of screen  ---"
"WOLF RUN ECLIPSE","must-hit-by","low","$0.88","Mini (blue) 30+ free games | Minor (purple) 40+ free games | Major (orange) 65+ free games | Never chase Mega (check bet pad for all counts)","After triggering free games feature for targeted meter","| Meter | Color | Free Games Threshold | |-------|-------|---------------------| | Mini | Blue | ≥ <strong>30</strong> | | Minor | Purple | ≥ <strong>40</strong> | | Major | Orange | ≥ <strong>65</strong> | | Mega | Green | ❌ **NEVER** |  **How to Check:** - Look directly on bet pad - Shows free games count for all bet levels  ---","- Free games bonus triggers for targeted meter - You hit your loss limit (set one before playing)  ---"
"WU DRAGON / STAR GODDESS","counter-meter","high","$0.88","7+ frames in first 4 reels with 5+ in reels 2-3 | 6+ frames in first 4 reels with 3+ connected horizontally | 4+ frames in same row | Only check BOTTOM row bets (Portal Lock feature)","After fireball hits frame and all frames turn wild (frames disappear next spin)","**Option A — Seven Frames:** - <strong>7+</strong> frames in first four reels - WITH <strong>5+</strong> frames in reels 2-3  **Option B — Six Frames + Horizontal:** - <strong>6+</strong> frames in first four reels - WITH <strong>3+</strong> frames connected horizontally  **Option C — Full Row:** - <strong>4+</strong> frames in same row - (Don't need to be connected)  | Frames in R1-4 | Reels 2-3 | Horizontal | Action | |----------------|-----------|------------|--------| | 7+ | 5+ | Any | ✅ **Play** | | 6+ | Any | 3+ | ✅ **Play** | | 4+ same row | Any | N/A | ✅ **Play** |  ---","- Fireball hits frame - All frames turn wild - Frames disappear next spin  ---"
"Ying Cai Shen","accumulation","high","$0.88","Active wild on reel 3 (red banner | 2 coins below) | Active wilds on BOTH reels 4 and 5 | Reel 4 wild with 2 spins remaining + 1 coin in reel 3 (play 1 spin for potential double wild)","After wild reel(s) expire (banner gone, coins empty)","**Option A — Reel 3 Active:** - Reel 3 has active wild - (2 coins below OR 1 coin + red banner)  **Option B — Reels 4 AND 5 Active:** - **Both** reels 4 and 5 have active wilds  **Option C — One-Spin Gamble:** - Reel 4 active with <strong>2</strong> spins remaining - AND <strong>1</strong> coin below reel 3 - Play **1 spin only** to try landing 2nd coin in reel 3 - If no coin lands → Stop immediately  ---","- Wild reel(s) expire (banner gone, coins empty) - One-spin gamble failed (no coin landed in reel 3)  ---"
"ZODIAC LION / ZODIAC DRAGON","counter-meter","high","$0.88","4+ gold frames connected horizontally spanning reels 1-4 or 2-5 | 3+ horizontal frames starting in reel 1 or 2 with 8+ total connected | Avoid frames only in reels 3-4-5 with no connection to reels 1-2 | Check for Lion Spin Bonus leftovers (lion heads become frames next spin)","After lion/dragon head lands in a gold frame (all connected frames turn wild, then disappear next spin)","**Option A — Four Horizontal Frames:** - <strong>4+</strong> gold frames connected horizontally - Must span reels 1-4 OR reels 2-5  **Option B — Three Horizontal + Large Clump:** - <strong>3+</strong> horizontal frames starting in reel 1 or 2 - <strong>8+</strong> total connected frames in that clump  | Horizontal Span | Total Clump | Action | |-----------------|-------------|--------| | Reels 1-4 | Any | ✅ **Play** | | Reels 2-5 | Any | ✅ **Play** | | Reels 1-3 or 2-4 | 8+ | ✅ **Play** | | Reels 3-5 only | Any | ❌ Skip |  ---","- Lion/dragon head lands in gold frame - All connected frames turn wild - Frames disappear next spin  ---"